COUNTY_NAM,Longitude,Latitude
Sinkhole,-89.4405,41.8619
Sinkhole,-89.439,41.8603
Sinkhole,-90.2586,38.9327
Sinkhole,-90.261,38.934
Sinkhole,-89.6495,37.8949
Sinkhole,-89.6494,37.8952
Sinkhole,-89.6496,37.8954
Sinkhole,-89.6497,37.8957
Sinkhole,-89.6501,37.8957
Sinkhole,-89.6499,37.8957
Sinkhole,-89.6498,37.8957
Sinkhole,-89.6498,37.8958
Sinkhole,-89.6499,37.8959
Sinkhole,-89.6502,37.8962
Sinkhole,-89.6511,37.8967
Sinkhole,-89.6512,37.8968
Sinkhole,-89.6513,37.8969
Sinkhole,-89.652,37.8981
Sinkhole,-89.6519,37.8981
Sinkhole,-89.6547,37.89
Sinkhole,-89.6549,37.8902
Sinkhole,-89.6556,37.8913
Sinkhole,-89.6556,37.8911
Sinkhole,-89.6555,37.8908
Sinkhole,-89.6559,37.8888
Sinkhole,-89.6558,37.8886
Sinkhole,-89.6411,37.8759
Sinkhole,-89.6409,37.8761
Sinkhole,-89.6409,37.8762
Sinkhole,-89.6408,37.8759
Sinkhole,-89.6385,37.8746
Sinkhole,-89.6382,37.8746
Sinkhole,-89.6376,37.8745
Sinkhole,-89.638,37.874
Sinkhole,-89.6378,37.8742
Sinkhole,-89.6379,37.8745
Sinkhole,-89.6378,37.8737
Sinkhole,-89.636,37.8727
Sinkhole,-89.6356,37.8726
Sinkhole,-89.6355,37.8718
Sinkhole,-89.6372,37.8727
Sinkhole,-89.6371,37.8728
Sinkhole,-89.6373,37.873
Sinkhole,-89.637,37.8732
Sinkhole,-89.6374,37.8731
Sinkhole,-89.6376,37.8738
Sinkhole,-89.6377,37.8734
Sinkhole,-89.6375,37.8735
Sinkhole,-89.6376,37.8735
Sinkhole,-89.6377,37.8735
Sinkhole,-89.6368,37.8715
Sinkhole,-89.635,37.8702
Sinkhole,-89.6348,37.8702
Sinkhole,-89.6351,37.8701
Sinkhole,-89.6481,37.8719
Sinkhole,-89.6483,37.8717
Sinkhole,-89.6484,37.8716
Sinkhole,-89.6485,37.8714
Sinkhole,-89.649,37.8711
Sinkhole,-89.6488,37.8708
Sinkhole,-89.6486,37.871
Sinkhole,-89.6467,37.8725
Sinkhole,-89.651,37.872
Sinkhole,-89.6511,37.872
Sinkhole,-89.6512,37.8721
Sinkhole,-89.6513,37.8721
Sinkhole,-89.6501,37.8641
Sinkhole,-89.6485,37.8636
Sinkhole,-89.6487,37.8638
Sinkhole,-89.6488,37.8641
Sinkhole,-89.6487,37.8643
Sinkhole,-89.6486,37.8645
Sinkhole,-89.6486,37.8647
Sinkhole,-89.6483,37.865
Sinkhole,-89.6478,37.8648
Sinkhole,-89.648,37.8648
Sinkhole,-89.6478,37.8646
Sinkhole,-89.6486,37.8628
Sinkhole,-89.6487,37.863
Sinkhole,-89.6488,37.8631
Sinkhole,-89.6491,37.8633
Sinkhole,-89.6505,37.8646
Sinkhole,-89.6868,37.8695
Sinkhole,-89.6854,37.8719
Sinkhole,-89.6863,37.8706
Sinkhole,-89.6852,37.871
Sinkhole,-89.6854,37.8703
Sinkhole,-89.6858,37.8696
Sinkhole,-89.6837,37.8674
Sinkhole,-89.6324,37.8437
Sinkhole,-89.6318,37.8432
Sinkhole,-89.6297,37.8473
Sinkhole,-89.6296,37.8471
Sinkhole,-89.6294,37.8471
Sinkhole,-89.6278,37.848
Sinkhole,-89.6269,37.8478
Sinkhole,-89.628,37.8478
Sinkhole,-89.6289,37.8483
Sinkhole,-89.6287,37.8484
Sinkhole,-89.629,37.8484
Sinkhole,-89.6789,37.8503
Sinkhole,-89.679,37.8499
Sinkhole,-89.6771,37.8501
Sinkhole,-89.6768,37.8504
Sinkhole,-89.5751,37.8278
Sinkhole,-89.5757,37.8258
Sinkhole,-89.5751,37.8256
Sinkhole,-89.5751,37.8254
Sinkhole,-89.5751,37.8252
Sinkhole,-89.5752,37.8247
Sinkhole,-89.5751,37.825
Sinkhole,-89.5752,37.8248
Sinkhole,-89.5801,37.8197
Sinkhole,-89.58,37.8202
Sinkhole,-89.5596,37.8029
Sinkhole,-89.5592,37.8035
Sinkhole,-89.5592,37.8055
Sinkhole,-89.5587,37.8057
Sinkhole,-89.5581,37.8043
Sinkhole,-89.5577,37.8036
Sinkhole,-89.5568,37.8037
Sinkhole,-89.5572,37.8032
Sinkhole,-89.5579,37.8027
Sinkhole,-89.5574,37.8021
Sinkhole,-89.5397,37.8084
Sinkhole,-89.5397,37.8081
Sinkhole,-89.5419,37.7935
Sinkhole,-89.5422,37.7937
Sinkhole,-89.5398,37.794
Sinkhole,-89.5408,37.7949
Sinkhole,-89.5417,37.7948
Sinkhole,-89.5428,37.7947
Sinkhole,-89.5408,37.7961
Sinkhole,-89.5396,37.7959
Sinkhole,-89.5422,37.7968
Sinkhole,-89.5414,37.797
Sinkhole,-89.5397,37.7981
Sinkhole,-89.5401,37.799
Sinkhole,-89.5389,37.7987
Sinkhole,-89.537,37.799
Sinkhole,-89.5377,37.7999
Sinkhole,-89.5408,37.8002
Sinkhole,-89.5238,37.7943
Sinkhole,-89.5246,37.7959
Sinkhole,-89.5318,37.8057
Sinkhole,-89.5322,37.8096
Sinkhole,-89.5325,37.8101
Sinkhole,-89.533,37.8117
Sinkhole,-89.5314,37.8117
Sinkhole,-89.5277,37.8128
Sinkhole,-89.5279,37.8126
Sinkhole,-89.5277,37.8122
Sinkhole,-89.5278,37.8113
Sinkhole,-89.5278,37.8116
Sinkhole,-89.5274,37.8116
Sinkhole,-89.5274,37.8119
Sinkhole,-89.5272,37.8117
Sinkhole,-89.5271,37.8118
Sinkhole,-89.5334,37.8109
